タグ,Diff_R,Diff_G,Diff_B,Diff_A,Spec_R,Spec_G,Spec_B,Spec_A,スペキュラ強度,Emsv_R,Emsv_G,Emsv_B,エミッシブ,ディフューズマップ,ノーマルマップ,スペキュラマップ,ブレンドモード
Ground,1,1,1,1,1,1,1,1,100,1,1,1,0,Resource/Texture/Materials/brick_moss_001_diff_2k.png,Resource/Texture/Materials/brick_moss_001_nor_dx_2k.png,-1,0
Billboard,1,1,1,1,1,1,1,1,50,0,0,0,0,Resource/Texture/Billboard.png,-1,-1,1
Recovery_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/Recovery.png,-1,-1,1
RecoveryPlus_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/RecoveryPlus.png,-1,-1,1
WeaponBox_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/WeaponBox.png,-1,-1,1
Armor_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/Armor.png,-1,-1,1
LaserPointBillboard,5,1,1,1,1,1,1,1,50,1,0,0,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
PointLight,1,1,1,1,1,1,1,1,50,1,1,1,0,Resource/Texture/Wall_W040.jpg,Resource/Texture/Wall_W040_n.png,-1,0
Decal_BulletHole,1,1,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/BulletHole.png,Resource/Texture/Particle/BulletHole_n.png,-1,0
Decal_Ant_Splash,1,1,1,1,1,1,1,1,100,1,1,1,1.5,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
RocketLauncher,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/Weapon/RocketLauncher/Simple rocket launcher Tex.png,Resource/Texture/DefaultN_Map.png,-1,0
Bullet_01,1,1,10,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Bullet_02,1,10,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Bullet_03,10,1,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Acid_01,2,2,0,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
Acid_02,5,1,1,1,1,1,1,1,100,5,0,0,1,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
Flame_01,10,1,1,1,1,1,1,1,100,10,0,0,10,Resource/Texture/Particle/Flame1.png,-1,-1,1
Objector_body,0,1,0,1,1,1,1,1,100,0,1,0,3,Resource/Model/Enemy/Octahedron/textures/shieldSurface.jpg,-1,-1,1
Objector_shield,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/Enemy/Octahedron/textures/shieldSurface.jpg,-1,-1,1
MuzzleFlash_1,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/MazzleFrash1.png,-1,-1,1
MuzzleFlash_2,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/MazzleFrash2.png,-1,-1,1
